Nama Produk;label;text_cleaned;text_stopwords_removed;clean_text;token_awal;token_akhir;reduksi;persen_%
sikat gigi hotel BPOM murah 1000 pcs;Kesehatan;sikat gigi hotel bpom murah pcs;sikat gigi hotel bpom;sikat gigi hotel bpom;7;4;3;42.9
box kwh meter token kotak pln penutup prabayar pelindung kunci pengaman tutup pln meteran listrik tutup listrik;Tagihan;box kwh meter token kotak pln penutup prabayar pelindung kunci pengaman tutup pln meteran listrik tutup listrik;kwh token pln penutup prabayar pelindung kunci pengaman tutup pln meteran listrik tutup listrik;kwh token pln tutup prabayar lindung kunci kam tutup pln meter meter listrik tutup listrik;17;15;3;17.6
TROPICANA SLIM SWEETENER STEVIA (1 Box isi 50 Sachet);Kesehatan;tropicana slim sweetener stevia box isi sachet;tropicana slim sweetener stevia;tropicana slim sweetener stevia;9;4;5;55.6
BCA Life Premi;Tagihan;bca life premi;bca life premi;bca bca life premi;3;4;0;0
Tagihan E-Samsat;Tagihan;tagihan esamsat;tagihan esamsat;tagih esamsat esamsat;2;3;0;0
Fresh Care Aromatherapy Roll On | Minyak Angin FreshCare | Teens - Minyak Angin | TnT Beauty Shop;Kesehatan;fresh care aromatherapy roll on minyak angin freshcare teens minyak angin tnt beauty shop;fresh care aromatherapy on minyak angin freshcare teens minyak angin tnt beauty;fresh care angin on minyak angin freshcare teens minyak aromatherapy tnt beauty;18;12;6;33.3
Baso Aci Instan Home Made Murah Halal 1kg;Konsumsi;baso aci instan home made murah halal kg;baso aci home made;baso aci home made;8;4;4;50
NOURISH ACNE PLAST FUN PATCH (isi 24 pcs);Kesehatan;nourish acne plast fun patch isi pcs;nourish acne plast fun patch;nourish acne plast plast fun patch;8;6;3;37.5
Business Insider;Langganan;business insider;business insider;business insider;2;2;0;0
Tempra Sirup Rasa Anggur 30 ml;Kesehatan;tempra sirup rasa anggur ml;tempra sirup anggur;tempra sirup sirup anggur;6;4;3;50
Dodol galamai;Konsumsi;dodol galamai;dodol galamai;dodol galamai;2;2;0;0
Kacang Mede Pecah Mete Menir Mentah BB2 1kg;Konsumsi;kacang mede pecah mete menir mentah bb kg;kacang mede pecah mete menir mentah bb;kacang mede pecah mete menir mentah bb;8;7;1;12.5
Alat Pembersih Telinga Korek Kuping Stainless Steel Paket 8pc set;Kesehatan;alat pembersih telinga korek kuping stainless steel paket pc set;alat pembersih telinga kuping stainless steel;kuping bersih telinga alat stainless steel;10;6;4;40
Frenta Soda Renceng 10 Pcs Isi 10 Pcs;Konsumsi;frenta soda renceng pcs isi pcs;frenta soda renceng;frenta soda renceng;8;3;5;62.5
Kompas.id;Langganan;kompasid;kompasid;kompasid kompasid;1;2;0;0
dental kit / tooth kit hotel crystal/ sikat gigi hotel kristal set odol 100 pcs;Kesehatan;dental kit tooth kit hotel crystal sikat gigi hotel kristal set odol pcs;dental kit tooth kit hotel crystal sikat gigi hotel kristal odol;dental kit tooth kit hotel crystal sikat gigi hotel kristal odol;15;11;4;26.7
Storyblok;Langganan;storyblok;storyblok;storyblok;1;1;0;0
Element;Langganan;element;element;element;1;1;0;0
